"","gq6_1","gq6_2","gq6_3","gq6_4","gq6_5","gq6_6","gac_1","gac_2","gac_3","losd_1","losd_2","losd_3","losd_4","losd_5","losd_6","sa_1","sa_2","sa_3","sa_4","sa_5","sa_6","ao_1","ao_2","ao_3","ao_4"
"276",5,5,6,6,6,6,5,5,5,8,1,1,5,3,2,1,2,3,4,7,9,9,7,7,7
"277",7,7,7,6,7,7,5,5,5,7,1,1,1,1,7,1,5,7,5,5,7,7,7,7,7
"278",6,6,6,6,6,3,3,3,3,5,3,5,5,5,5,3,5,6,5,6,9,6,6,5,6
"279",4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"280",7,7,4,5,7,1,5,5,5,9,1,9,1,1,1,9,9,9,9,9,9,9,9,1,9
"281",7,7,6,6,7,4,5,5,5,8,2,3,5,4,1,4,1,1,1,7,9,9,5,7,7
"282",6,6,7,6,6,3,5,5,5,8,6,7,2,6,1,4,8,6,6,8,8,8,8,8,8
"283",7,7,2,6,4,2,4,3,4,7,8,3,4,6,9,2,4,8,3,6,5,5,3,3,5
"284",7,7,7,2,7,7,5,5,5,9,2,9,5,5,5,9,5,5,5,3,5,8,9,5,5
"285",7,7,1,7,7,1,5,5,5,8,8,8,8,8,8,7,7,8,9,8,8,8,7,8,8
"287",6,6,6,6,7,2,4,4,3,7,6,8,1,5,1,6,4,1,5,7,9,8,9,9,7
"288",7,7,6,5,5,7,5,5,5,9,1,1,1,5,1,5,1,1,1,5,9,6,6,6,6
"289",6,6,7,6,6,4,5,5,5,7,6,4,1,1,1,9,4,4,4,9,9,5,6,9,9
"290",7,6,7,6,6,3,5,5,5,8,2,2,1,1,2,7,8,5,6,6,9,8,7,4,6
"291",3,2,6,4,4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"292",4,3,4,4,7,4,3,3,3,5,5,5,5,5,5,5,7,7,5,9,5,5,5,5,5
"293",5,6,6,5,5,6,3,4,5,8,3,3,4,3,7,6,2,3,5,6,6,7,5,6,9
"294",5,5,6,4,4,6,3,3,3,8,5,3,2,1,5,5,3,6,5,4,7,6,5,4,3
"295",7,6,5,7,7,2,5,5,5,7,3,3,3,1,3,3,5,9,9,8,9,9,3,8,9
"296",7,7,7,7,7,7,5,5,5,9,1,1,1,1,1,9,6,6,8,9,9,9,8,9,9
"297",7,7,7,7,6,7,5,5,5,9,5,2,2,1,2,5,6,8,9,7,9,9,9,9,9
"298",5,4,5,6,6,6,4,4,3,6,5,5,7,5,4,4,3,3,6,5,8,7,5,7,7
"300",6,6,2,6,6,6,5,5,5,8,7,7,5,5,5,6,5,5,5,8,8,9,8,5,8
"301",5,4,6,6,5,4,5,5,5,5,7,7,2,1,8,7,2,7,5,3,1,4,8,5,4
"302",7,7,7,7,7,7,5,5,5,9,2,1,5,1,5,8,9,5,7,8,8,9,9,9,9
"303",6,6,5,6,6,2,4,4,4,7,4,2,3,2,6,4,1,3,2,6,8,8,8,9,6
"304",7,6,6,6,5,3,3,4,5,7,8,8,5,8,9,9,7,9,9,8,9,9,9,6,7
"305",6,6,6,5,6,3,2,3,3,8,4,6,5,2,3,3,2,3,2,6,8,8,5,6,5
"306",5,5,6,5,7,3,4,5,5,5,4,9,6,9,7,8,1,9,5,8,9,7,9,9,9
"307",7,6,7,7,6,7,4,4,4,9,1,1,1,1,1,5,5,5,5,7,7,8,9,9,9
"308",7,7,7,7,7,7,4,5,4,8,2,1,6,4,4,9,7,7,8,7,9,9,8,9,9
"309",7,7,7,7,7,1,5,5,5,9,1,1,1,1,5,9,1,9,5,9,9,9,9,9,9
"310",6,6,5,6,6,2,4,4,4,8,3,1,2,1,2,6,1,1,5,7,2,8,6,8,7
"311",7,7,7,7,7,7,5,5,5,9,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9
"312",7,7,7,6,7,7,5,5,5,9,7,3,3,1,3,2,1,2,5,9,9,9,7,7,9
"313",7,7,6,6,6,5,5,5,5,8,3,2,2,2,2,7,3,3,8,8,9,8,8,7,8
"314",5,5,5,6,6,5,3,3,3,5,3,3,6,3,3,4,4,4,4,4,7,5,5,5,4
"315",4,3,4,4,3,4,3,3,3,6,6,6,5,6,1,5,5,7,7,8,5,5,4,6,9
"316",6,5,4,6,4,3,3,4,4,6,9,5,1,3,7,1,1,7,3,7,7,6,5,7,7
"317",6,5,5,6,5,6,3,4,5,7,3,2,5,3,5,5,3,4,2,5,6,7,6,6,4
"318",7,6,6,6,5,7,4,4,4,6,5,3,3,2,2,9,9,8,9,8,9,6,9,8,9
"320",6,6,6,6,6,6,4,4,4,7,1,2,1,3,4,6,4,3,4,7,8,5,8,7,8
"321",6,7,6,6,6,4,4,4,4,9,5,2,1,2,5,5,7,3,1,7,6,8,7,5,6
"322",4,5,4,6,7,6,4,5,5,1,1,3,7,1,3,5,2,7,5,7,8,4,7,5,9
"323",7,7,7,7,6,7,5,5,5,9,1,1,1,1,2,7,7,7,7,8,9,9,9,9,8
"324",6,6,1,7,7,2,4,4,4,7,7,8,9,9,8,1,5,7,7,7,9,7,7,8,7
"325",6,7,1,6,4,3,3,3,3,5,8,7,7,5,5,5,2,3,4,3,6,5,4,3,6
"326",7,7,7,7,7,7,5,5,5,9,5,1,1,1,1,3,9,9,9,9,9,9,9,9,9
"327",6,7,7,7,6,7,4,5,5,7,2,1,1,1,1,1,1,1,1,6,6,6,4,6,6
"328",6,6,6,6,6,3,2,2,3,7,4,4,5,6,5,4,3,4,5,6,7,7,5,5,6
"329",7,7,7,7,7,3,4,4,4,8,8,7,3,5,6,8,7,7,9,9,8,8,7,9,9
"330",7,7,7,7,7,7,5,5,5,9,1,1,1,1,1,8,9,9,9,9,9,9,9,9,9
"331",7,6,1,6,7,2,5,5,5,7,1,1,5,5,5,5,5,5,5,5,5,7,5,5,5
"332",7,7,7,7,7,7,4,4,4,9,1,1,1,2,1,7,8,9,8,9,9,9,8,7,9
"333",7,7,7,7,7,7,5,5,5,6,1,8,1,1,1,9,9,9,9,9,9,6,8,8,8
"334",7,7,7,7,7,7,5,5,5,8,2,6,3,3,3,6,5,7,6,8,7,8,7,6,8
"335",7,7,6,6,6,6,3,3,3,8,3,2,5,6,5,5,5,5,6,8,5,9,6,6,9
"336",6,6,6,6,6,6,4,4,4,2,3,9,3,4,4,1,9,1,7,1,2,2,9,9,1
"338",7,6,6,6,5,6,5,5,4,8,1,4,2,1,3,2,1,4,4,6,9,7,2,2,6
"339",6,6,6,5,5,6,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"340",7,7,7,7,7,1,4,5,4,9,2,1,1,1,2,1,2,1,6,5,9,9,8,5,7
"341",6,7,1,4,4,3,4,4,4,8,8,9,8,9,8,2,1,4,1,2,9,5,1,3,2
"342",6,6,7,6,5,5,4,4,4,9,1,1,1,1,1,1,6,6,1,9,9,7,7,5,6
"343",4,5,6,5,5,4,2,3,5,7,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5
"344",7,7,7,7,7,7,5,5,5,8,1,1,1,2,1,8,9,9,9,9,9,9,9,9,9
"345",6,6,6,6,6,5,4,5,4,7,3,2,2,3,3,5,5,5,3,6,8,7,7,6,7
"346",5,7,6,6,6,5,4,4,4,7,8,3,2,4,3,5,3,6,5,7,6,9,7,7,9
"347",6,6,4,6,5,3,4,4,4,5,5,3,7,7,5,7,5,5,3,7,7,5,7,5,9
"348",7,7,7,7,6,2,5,5,5,9,1,2,1,1,1,3,2,3,4,7,9,8,9,9,9
"349",7,7,7,7,7,7,4,5,5,9,1,1,1,2,1,5,9,8,6,9,9,6,8,8,9
"350",7,7,7,4,7,7,5,5,5,8,6,3,4,1,1,5,2,5,8,6,6,6,8,9,9
"351",5,4,4,7,7,5,4,4,4,3,8,9,9,7,8,3,1,9,7,4,9,2,9,5,8
"352",7,7,5,6,7,2,5,5,5,9,1,6,1,5,1,5,1,1,8,8,9,8,8,9,9
"353",7,7,7,7,6,2,5,5,5,7,1,8,5,4,8,4,1,4,3,4,9,9,9,9,9
"354",6,5,5,5,6,4,4,4,4,8,3,3,2,5,4,9,1,2,5,7,8,7,8,5,8
"355",6,6,7,6,6,6,4,4,4,8,2,2,1,1,3,5,4,5,6,5,8,8,7,5,7
"356",5,5,3,5,5,3,3,3,4,8,3,8,7,4,8,6,8,7,8,7,8,8,8,8,8
"357",7,7,1,7,7,1,5,5,5,9,9,9,1,1,9,9,9,9,5,9,9,9,9,9,9
"359",6,6,6,4,6,3,2,2,2,7,8,7,5,5,5,1,1,1,1,5,5,4,5,3,5
"360",4,4,4,4,4,4,2,2,3,6,4,5,5,4,5,5,7,5,5,5,5,5,5,5,5
"361",7,6,6,6,6,7,5,5,5,8,2,1,5,3,1,4,1,1,1,5,6,8,8,7,8
"362",6,5,4,5,5,4,3,3,3,7,3,3,5,2,5,7,5,3,3,5,3,3,7,5,5
"363",7,7,7,6,6,3,5,5,5,8,3,2,1,1,2,5,5,8,7,8,5,5,6,7,6
"365",6,6,6,6,5,4,3,3,4,7,4,4,5,4,4,5,5,5,9,7,7,9,5,7,7
"367",5,5,3,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"369",6,7,6,7,6,4,4,4,4,7,1,3,3,1,2,3,1,3,5,7,7,8,7,8,8
"371",5,3,4,4,4,4,4,4,4,8,3,3,3,7,7,2,4,1,2,7,7,5,1,4,7
"372",7,7,7,7,7,7,5,5,5,9,5,1,1,1,1,9,7,9,7,9,9,9,7,7,5
"373",7,6,6,6,5,6,3,4,4,6,5,2,5,1,5,4,6,4,6,7,9,7,6,9,8
"374",6,6,7,6,7,2,5,5,5,8,4,4,3,5,5,7,5,6,6,6,8,7,6,6,8
"375",6,6,6,5,6,5,4,4,4,7,2,2,2,5,2,6,6,6,5,7,7,7,7,8,7
"376",6,7,6,6,7,6,5,5,5,8,2,2,5,1,2,7,7,9,7,9,9,8,7,7,1
"377",4,5,6,6,6,4,3,3,3,6,5,7,6,5,6,3,5,5,7,5,6,5,5,4,5
"378",7,7,7,6,7,6,5,5,5,8,2,2,1,2,2,7,7,7,7,9,9,8,7,7,9
"379",6,5,6,5,4,3,3,3,3,7,8,6,5,5,8,6,7,6,5,6,7,5,5,5,7
"380",7,7,7,7,7,7,5,5,5,9,1,1,2,1,2,7,8,7,7,7,9,9,9,9,9
"381",6,4,4,5,4,4,3,3,3,5,5,7,7,5,5,5,3,3,7,7,5,3,5,5,5
"382",4,4,6,4,4,4,2,4,3,4,4,5,3,2,3,3,1,1,3,3,4,2,4,3,3
"383",7,6,7,7,7,7,4,4,5,8,5,3,2,2,9,6,5,5,7,9,9,9,5,9,9
"384",6,7,7,6,7,2,4,4,4,9,3,2,1,1,1,6,7,7,7,7,9,8,5,7,5
"385",6,6,7,6,5,4,5,5,5,7,2,1,2,1,1,5,1,5,3,7,8,7,7,6,8
"386",7,7,7,7,7,7,3,3,3,9,3,5,1,1,5,5,5,1,6,9,9,5,5,5,9
"387",6,6,7,6,6,6,3,4,5,8,2,1,5,5,5,8,7,7,1,6,7,7,7,7,8
"388",6,6,6,6,6,3,3,3,4,6,7,3,2,5,5,8,6,7,5,5,5,9,7,5,8
"389",7,4,2,3,5,5,5,5,5,9,2,8,1,9,3,2,6,2,8,7,9,9,9,5,2
"390",6,6,4,5,7,2,3,4,4,7,5,6,5,5,8,7,5,5,6,9,8,8,8,7,7
"391",6,6,6,6,6,5,4,4,4,9,1,2,7,6,2,7,5,5,5,7,9,9,9,7,8
"392",5,5,6,5,5,2,4,4,4,6,3,3,4,3,9,5,6,5,6,7,8,6,7,6,8
"393",6,6,6,6,7,6,4,4,4,7,3,2,3,2,5,3,8,5,6,7,8,6,7,7,6
"394",6,5,6,5,5,6,2,3,3,8,3,2,2,3,5,2,1,1,1,8,8,5,4,3,4
"396",6,5,6,4,4,2,3,3,3,7,3,5,6,3,7,5,3,5,5,5,6,5,7,5,7
"397",5,4,4,5,6,2,3,3,3,6,5,5,5,4,5,1,1,1,1,5,1,7,8,1,1
"398",7,7,7,6,5,5,5,5,5,8,1,1,1,1,1,1,7,7,3,7,8,8,7,7,7
"399",7,6,6,6,6,4,3,4,4,6,6,2,5,5,6,5,4,6,5,5,7,3,4,4,6
"400",5,4,5,4,4,4,2,2,3,5,3,5,3,5,4,2,1,1,3,5,5,5,5,4,4
"401",7,7,6,6,7,4,3,4,3,8,3,2,2,2,2,7,9,7,7,9,9,8,8,8,8
"402",4,5,4,5,5,3,3,3,3,5,3,4,5,5,7,1,2,2,4,5,5,6,4,5,6
"403",6,6,6,6,6,2,4,4,4,5,6,5,8,6,8,7,6,7,5,4,9,4,8,9,3
"404",6,6,5,7,7,5,4,4,4,8,4,6,6,5,3,4,6,7,8,7,8,6,8,7,6
"405",7,7,7,6,7,6,4,4,4,8,2,3,9,9,8,3,4,9,9,8,8,8,7,8,8
"406",7,7,7,7,7,6,5,5,5,9,1,1,1,1,1,9,5,9,9,9,9,4,9,9,9
"408",6,6,7,6,7,6,4,4,4,3,2,5,4,1,2,4,3,2,1,7,6,8,7,5,5
"409",6,7,7,6,7,7,4,4,3,6,3,5,6,5,3,3,4,4,8,8,9,9,8,5,8
"410",5,4,5,5,6,6,3,2,4,6,3,5,3,2,7,2,1,2,1,4,1,4,3,3,3
"411",7,7,7,7,7,4,5,5,5,1,9,1,5,5,1,5,8,8,8,9,9,1,6,8,9
"412",5,6,4,6,5,3,3,3,3,5,9,4,3,4,7,4,2,2,5,7,9,9,4,6,7
"413",6,6,6,6,5,6,3,3,3,5,7,9,6,9,7,6,6,8,7,9,8,9,9,7,8
"414",7,7,7,7,7,7,5,4,4,9,9,9,9,9,9,9,7,8,9,9,9,7,9,8,7
"415",6,6,6,6,6,6,3,3,4,7,5,6,6,5,3,5,5,6,6,6,7,7,8,6,8
"416",7,6,6,7,6,5,5,5,5,8,8,8,5,5,9,8,5,7,7,7,7,8,8,7,8
"417",7,7,5,6,4,6,2,3,3,9,7,4,1,9,8,2,1,8,9,5,1,5,4,5,4
"418",5,5,5,6,6,6,3,3,3,4,3,4,3,4,4,4,2,2,3,3,4,7,6,6,6
"419",6,6,7,6,6,4,4,5,4,5,6,5,5,5,5,5,5,5,5,5,5,4,5,5,5
"420",7,6,6,6,7,7,3,4,5,6,9,1,6,5,8,7,8,8,9,9,9,9,9,9,9
"421",6,5,7,7,7,4,5,5,5,5,5,4,5,5,3,5,5,7,6,9,9,8,5,7,8
"422",6,7,2,6,6,5,5,5,5,6,5,4,4,5,4,6,8,9,9,9,9,8,7,5,9
"425",6,6,6,4,6,3,4,4,4,8,8,6,5,8,8,2,1,2,2,8,8,6,3,5,4
"426",5,5,4,4,5,4,2,4,3,7,8,7,5,7,7,3,1,5,1,5,9,8,5,3,6
"427",7,7,7,7,6,6,3,5,4,7,6,9,8,9,5,2,1,1,3,4,8,6,8,6,7
"428",7,6,7,6,7,7,4,4,3,8,9,9,5,5,5,3,1,5,5,5,5,7,8,5,5
"429",7,7,7,7,7,6,4,3,4,7,7,9,9,9,7,4,1,1,1,9,8,7,8,6,7
"430",6,7,7,6,7,1,4,4,4,6,5,4,2,4,6,4,6,8,8,6,9,3,5,4,4
"432",4,4,4,6,7,5,4,3,4,3,5,5,5,4,5,8,6,2,5,7,5,4,5,3,3
"433",6,5,6,6,7,1,4,4,5,5,7,5,5,8,5,2,1,4,2,7,9,7,8,7,8
"434",5,6,6,5,7,2,2,4,4,9,5,3,5,6,4,9,2,5,6,9,9,7,5,9,7
"435",7,5,7,5,7,3,5,5,5,9,8,9,9,9,9,3,1,1,8,9,9,6,5,5,8
"436",5,4,6,4,5,6,4,3,3,3,5,5,3,3,5,1,1,1,5,5,3,5,1,5,5
"437",7,6,7,7,6,5,4,5,4,9,9,9,9,8,9,6,5,7,8,8,5,9,9,9,9
"438",7,7,7,7,7,4,5,5,5,9,3,7,9,9,7,3,3,2,6,9,9,5,7,8,9
"439",7,7,7,6,6,6,5,4,3,8,9,7,5,7,9,9,8,9,9,8,9,9,9,8,8
"440",6,6,6,7,7,5,2,4,4,7,8,7,8,8,8,1,9,2,8,7,9,7,8,8,8
"442",7,7,7,6,6,6,5,5,5,7,8,8,8,8,7,2,3,3,2,7,9,9,7,6,7
"443",6,6,6,6,6,4,5,4,5,8,5,8,4,6,8,7,5,6,6,8,9,7,6,5,9
"444",5,5,5,5,4,4,2,2,2,8,7,4,3,5,4,4,2,5,6,4,7,6,4,4,6
"445",4,5,5,6,7,5,4,4,5,8,7,7,5,8,5,5,7,6,6,9,6,9,6,9,7
"446",6,6,7,6,5,5,3,3,3,7,7,9,8,9,7,4,6,6,6,5,8,7,6,6,6
"447",4,3,2,4,5,2,2,2,3,4,4,3,2,7,2,5,2,5,1,3,6,6,6,4,2
"450",6,7,7,7,5,4,4,3,4,7,5,9,5,9,8,7,7,4,6,7,9,9,8,8,8
"451",7,7,7,7,7,7,5,5,5,9,9,9,9,9,9,7,9,7,9,9,9,7,8,9,9
"452",7,7,7,7,7,7,4,4,4,8,9,8,7,8,5,7,9,9,8,9,9,8,8,8,8
"453",6,6,6,5,6,5,3,2,2,8,4,7,8,9,8,7,6,7,6,7,7,6,9,6,7
"454",4,3,4,4,5,3,3,4,3,3,5,5,5,4,6,7,8,5,5,9,5,5,6,4,6
"455",6,7,7,6,6,2,4,4,4,9,6,4,7,8,7,7,5,6,5,8,8,8,8,8,9
"456",6,7,7,4,5,7,4,3,2,9,7,4,8,6,5,4,6,7,7,8,9,4,6,5,7
"457",6,6,6,5,6,4,3,3,3,7,7,5,4,2,7,6,3,5,6,7,6,6,2,2,6
"458",6,6,6,5,6,6,3,4,3,7,8,8,8,8,8,4,3,3,5,5,5,4,6,4,7
"459",4,4,4,5,5,4,3,3,3,5,9,7,5,7,7,1,5,3,3,7,5,5,5,5,7
"460",7,6,7,6,7,7,4,4,5,8,8,6,9,9,4,5,5,5,8,7,8,8,9,7,8
"461",6,6,6,5,6,6,4,3,2,8,6,9,7,9,4,2,6,2,9,6,9,9,7,6,8
"462",6,7,7,5,5,5,4,4,4,7,8,7,6,8,6,4,4,6,5,4,5,7,5,7,6
"463",6,5,6,5,7,4,2,2,5,7,8,6,5,8,2,5,6,6,4,6,7,7,3,5,6
"464",7,6,7,5,7,5,5,5,5,9,7,7,7,7,5,5,7,5,7,7,9,7,5,7,5
"465",7,7,7,6,6,6,3,3,4,9,6,5,6,6,7,7,8,7,6,7,9,9,7,8,8
"466",6,6,7,6,6,6,4,3,4,8,7,8,8,9,9,6,7,6,7,7,8,7,8,7,8
"467",6,5,6,6,5,3,3,3,3,7,8,7,7,8,9,3,4,6,6,7,8,7,7,3,6
"468",6,5,6,6,6,3,3,3,3,4,6,9,5,8,8,6,9,8,7,7,3,4,8,4,6
"469",6,6,7,6,5,4,4,4,3,6,5,9,5,9,6,7,4,5,5,6,6,7,5,5,7
"470",4,5,5,4,6,5,5,4,5,3,4,7,7,7,3,2,5,5,6,6,9,6,5,5,5
"471",5,6,4,6,6,4,5,5,4,5,6,3,4,6,4,5,4,6,5,6,7,9,7,7,7
"472",7,7,6,6,6,6,5,5,4,7,8,8,7,9,8,2,2,8,2,8,8,3,2,2,7
"473",7,7,7,6,7,2,1,5,5,9,9,1,5,5,5,1,9,7,5,5,5,1,1,7,9
"474",7,7,2,7,6,2,3,4,5,5,7,7,4,2,8,9,7,5,5,8,9,9,9,7,7
"475",6,5,3,6,6,2,2,2,5,5,1,2,3,1,2,9,8,7,3,8,5,6,5,6,7
"476",6,4,6,7,5,4,3,3,3,8,4,3,4,4,6,2,1,1,2,3,7,7,7,5,5
"477",6,6,6,5,6,2,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"478",5,4,5,4,5,3,2,2,2,5,9,6,5,6,8,1,5,5,6,7,9,8,5,6,8
"479",7,5,4,5,5,5,4,4,4,5,5,9,4,9,1,3,3,1,1,9,1,8,2,2,9
"480",7,6,7,6,7,6,4,4,5,8,7,9,8,9,5,8,6,7,5,8,9,7,7,7,7
"481",6,7,6,6,7,6,4,3,5,7,8,4,9,5,9,4,8,8,9,8,7,7,5,8,7
"482",7,7,7,7,7,4,5,5,5,6,9,6,5,4,5,8,5,9,8,7,9,7,9,6,7
"483",6,6,5,3,3,2,3,3,3,6,8,6,6,6,6,8,9,8,3,8,3,8,6,9,7
"484",6,7,7,6,5,4,4,5,5,9,8,5,5,8,6,4,2,5,5,5,9,9,7,8,8
"485",7,6,6,6,7,2,2,2,2,6,6,5,5,6,6,7,2,3,5,7,7,5,4,8,8
"486",7,7,7,3,6,5,5,5,5,9,8,8,8,9,9,9,7,9,8,9,9,7,8,6,8
"487",7,7,7,7,4,6,5,5,5,9,9,9,9,9,9,5,5,5,5,5,9,9,8,4,6
"488",7,7,6,7,7,7,5,5,5,9,9,9,9,9,9,7,9,7,9,7,9,9,9,9,9
"489",7,7,7,6,6,6,4,5,5,9,9,7,9,9,5,3,1,5,9,9,9,9,7,7,9
"490",7,6,5,5,6,4,4,5,4,7,5,3,3,1,2,6,3,5,8,7,9,9,8,6,9
"491",6,4,6,6,5,4,2,3,3,5,4,4,5,8,5,5,1,5,8,8,9,4,9,3,5
"492",7,6,6,6,7,6,4,4,5,7,4,2,1,3,4,7,5,5,5,5,9,9,8,8,7
"493",5,5,5,6,3,5,2,2,2,7,7,3,7,9,8,5,5,7,5,6,7,7,7,7,7
"494",6,6,5,6,6,5,3,3,3,6,7,8,6,8,6,2,3,1,3,6,5,7,7,3,7
"495",7,7,6,6,6,6,4,3,4,7,9,9,9,9,3,3,1,7,5,7,9,9,9,9,9
"496",5,4,4,5,6,3,3,3,4,6,8,9,5,7,6,8,7,8,5,8,9,7,6,7,7
"497",6,5,6,5,6,4,4,3,3,7,5,6,7,8,4,7,6,6,6,7,9,5,6,8,7
"498",5,3,5,5,6,4,2,3,2,5,6,7,7,8,4,4,6,3,3,6,4,6,5,6,5
"499",6,5,6,5,6,4,4,3,2,7,9,7,7,6,9,5,6,9,7,8,7,9,5,8,6
"500",6,5,4,5,4,4,4,3,4,8,3,7,7,5,5,4,2,3,5,7,8,8,7,3,8
"501",6,5,6,6,6,5,2,3,3,7,7,7,7,9,7,5,3,4,4,4,7,7,6,5,5
"502",6,6,6,6,6,4,3,3,3,8,8,5,8,9,8,3,5,3,3,5,5,4,8,3,5
"503",6,6,4,6,6,6,5,5,4,7,7,9,7,9,7,3,1,5,6,9,9,5,7,5,9
"504",5,5,5,5,5,5,3,3,3,6,7,7,7,3,5,5,2,5,7,7,4,5,5,4,5
"505",5,6,6,6,6,4,4,3,4,6,7,8,6,5,5,5,5,5,5,5,9,7,7,6,7
"506",4,5,5,4,5,6,5,5,4,6,8,5,7,9,9,1,5,2,2,3,3,5,5,2,7
"507",6,7,6,6,6,4,2,3,3,5,4,3,4,3,3,2,2,6,6,5,7,3,3,6,7
"508",7,7,6,5,7,1,5,4,4,5,7,8,5,6,7,7,1,4,5,9,9,7,7,7,7
"509",7,7,7,7,7,6,4,4,4,5,5,7,9,9,1,3,9,3,3,9,9,8,7,8,8
"510",7,7,7,6,7,6,5,4,5,7,7,3,3,8,7,5,7,5,5,7,9,7,5,7,6
"511",7,7,7,7,7,3,5,5,5,9,6,8,9,9,7,9,8,8,8,9,9,9,9,9,9
"512",5,5,4,4,7,3,2,3,2,6,7,9,2,2,5,2,1,5,5,5,5,7,2,5,5
"513",6,5,6,4,4,4,5,2,4,8,5,8,6,9,3,1,2,5,1,5,9,1,6,5,5
"514",7,7,7,7,7,6,5,5,5,8,8,7,2,7,8,7,8,2,7,9,9,9,9,9,9
"515",7,7,7,6,6,3,4,4,5,8,7,9,9,9,8,8,5,5,5,7,9,9,8,8,9
"516",5,3,4,5,6,3,4,3,3,4,4,7,6,8,7,8,7,5,5,7,6,2,1,9,8
"517",5,5,1,4,2,5,1,1,3,4,6,3,3,5,3,1,3,3,4,5,8,5,6,2,5
"518",7,7,7,7,7,7,5,4,4,9,8,9,9,9,8,7,8,7,8,8,9,9,9,9,9
"519",7,7,6,6,7,3,4,3,2,7,6,6,6,8,6,4,6,7,4,6,7,6,5,6,5
"520",6,7,7,7,7,4,5,5,5,8,2,2,3,1,1,5,9,9,5,9,9,9,9,9,9
"521",6,6,6,7,7,2,4,5,5,7,4,3,5,5,2,5,8,9,6,9,9,9,9,9,9
"523",7,6,7,7,6,6,4,4,4,9,8,9,9,9,9,5,1,1,5,7,9,9,7,5,9
"524",6,7,7,6,7,1,5,5,5,9,9,7,7,9,9,1,1,5,7,7,9,9,9,9,9
"525",6,7,7,7,7,5,5,5,5,6,8,8,9,9,9,6,8,8,5,9,9,8,7,8,8
"526",6,6,6,6,7,7,3,2,2,9,9,9,9,9,9,3,3,7,7,9,9,9,7,5,9
"527",5,5,4,4,7,5,3,3,3,5,5,5,3,4,7,1,5,2,2,7,5,2,6,8,5
"528",7,7,7,7,7,7,4,5,5,9,9,9,9,9,9,5,7,7,5,7,9,7,9,9,9
"529",5,5,3,4,4,3,1,1,2,4,9,9,4,9,6,5,3,5,5,5,7,6,6,5,6
"530",7,6,7,7,7,6,5,5,3,9,8,7,8,9,9,5,9,8,8,9,9,9,9,9,9
"531",5,4,5,5,6,3,2,2,3,4,4,8,4,5,3,3,8,5,3,5,5,5,4,6,4
"532",7,6,7,7,6,7,3,4,2,9,9,8,5,5,9,8,1,1,5,7,9,7,7,7,7
"533",7,6,6,6,7,2,5,5,5,8,5,3,8,8,5,4,4,4,5,8,8,8,9,9,9
"534",7,6,6,6,7,5,2,2,2,8,9,8,6,9,9,2,1,9,5,9,7,7,6,6,6
"535",7,7,7,7,7,3,5,5,5,7,7,6,7,7,6,6,6,5,6,9,9,9,9,8,9
"536",6,4,3,3,6,4,3,3,3,7,9,9,4,9,5,6,5,3,3,8,8,8,3,7,6
"537",6,6,6,6,6,6,4,4,4,7,7,7,7,8,8,6,5,6,8,7,8,9,7,5,8
"538",7,7,7,7,7,7,5,5,5,9,9,1,1,9,9,9,1,1,9,9,9,9,9,9,9
"539",4,5,5,4,5,4,3,2,2,8,5,8,9,7,9,5,6,5,1,3,9,5,4,6,3
"541",7,7,6,7,7,2,4,4,4,7,6,5,7,6,3,5,4,3,5,8,9,9,9,8,9
"542",6,7,6,6,6,6,5,4,4,9,9,8,7,9,4,5,5,5,6,7,9,8,8,8,8
"543",3,3,4,4,1,3,3,3,1,3,3,2,4,4,9,5,5,5,6,2,3,2,5,5,4
"544",7,7,7,7,6,3,4,4,4,7,9,1,1,1,3,5,7,1,7,9,7,9,5,7,7
"545",6,7,6,6,6,5,3,4,5,5,5,5,3,7,3,7,1,3,7,5,9,7,5,5,7
"546",4,3,4,3,4,6,2,2,2,5,6,5,5,7,5,3,4,3,5,6,5,6,6,4,6
"547",6,5,6,6,7,6,4,4,3,7,7,6,7,7,5,5,1,3,7,6,7,7,7,5,7
"548",6,6,6,5,6,4,5,3,4,8,7,3,7,8,2,2,1,8,2,8,9,7,3,3,7
"549",6,6,6,6,7,4,4,4,4,8,5,6,9,9,4,7,3,3,1,9,5,9,9,9,9
"550",7,5,6,4,5,6,3,3,2,8,7,8,3,4,5,5,6,5,5,6,8,6,5,5,6
"551",5,5,5,4,6,1,3,4,4,9,8,9,9,9,5,1,1,6,8,9,9,9,1,7,9
"552",6,7,6,6,7,2,3,4,4,7,2,7,5,7,5,5,5,5,9,5,9,7,7,9,7
"554",7,7,7,6,7,3,1,5,4,9,9,9,9,9,9,5,1,9,9,9,9,9,9,9,9
"555",7,7,7,6,7,7,5,5,5,9,9,9,4,5,9,7,6,8,9,9,9,8,7,8,9
"556",6,6,6,6,6,3,4,4,4,8,6,4,5,6,4,5,6,7,6,7,8,8,7,7,7
